log,seed,method,k,n_groups,ratio_to_k,ari,nmi,v_measure,purity,sig_per_variant,group_sig_entropy
enterprise_xl,0,enabled@auto,5.0,2,0.4,0.21036003422628846,0.47435098761403194,0.47435098761403194,0.4,1.1048275862068966,2.714900908344168
enterprise_xl,0,attr_clean@k,5.0,5,1.0,0.6688344594147384,0.7490507440598076,0.7490507440598076,0.7555,1.0028169014084507,3.719292295579705
enterprise_xl,0,attr_clean@auto,5.0,8,1.6,0.6557059198129064,0.725045287667703,0.7250452876677032,0.76225,1.0021895527056615,3.5823912209507895
enterprise_xl,0,attr_noisy@k,5.0,5,1.0,-0.00016620646898741007,0.001147471052426954,0.001147471052426954,0.21375,1.0236421725239617,5.025756290126504
enterprise_xl,0,attr_noisy@auto,5.0,7,1.4,0.0003244370978492298,0.0021502964649755957,0.002150296464975596,0.22425,1.0126422250316056,5.007735169460335
enterprise_xl,0,attr_all@k,5.0,5,1.0,0.39429937890355565,0.4755427752423131,0.47554277524231314,0.56175,1.010406811731315,4.089546615688208
enterprise_xl,0,attr_all@auto,5.0,2,0.4,0.21029084503642295,0.4727807277689625,0.4727807277689625,0.4,1.054294175715696,3.470124736113985
enterprise_xl,0,attr_oracle@k,5.0,5,1.0,1.0,1.0,1.0,1.0,1.0,2.7438414533506688
enterprise_xl,0,attr_oracle@auto,5.0,5,1.0,1.0,1.0,1.0,1.0,1.0,2.7438414533506688
hidden_context,0,global,3.0,1,0.3333333333333333,0.0,0.0,0.0,0.40384615384615385,1.3333333333333333,1.9168608048744136
hidden_context,0,kappa,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3325477653287979
hidden_context,0,kappa_supported,3.0,3,1.0,1.0,1.0,1.0,1.0,1.0,0.3325477653287979
hidden_context,0,classical_variants,3.0,6,2.0,0.2911263782749289,0.5017357199029652,0.5017357199029651,0.8096153846153846,1.3333333333333333,0.3014200296317526
hidden_context,0,translucent_variants,3.0,8,2.6666666666666665,0.44601436502938163,0.6835576304613991,0.683557630461399,1.0,1.0,0.0
hidden_context,0,cf_kmeans@k,3.0,3,1.0,0.5120368887370217,0.674904034217737,0.674904034217737,0.8096153846153846,1.3333333333333333,0.30160109118088957
hidden_context,0,cf_kmeans@auto,3.0,5,1.6666666666666667,0.35468047086977794,0.5308428482926385,0.5308428482926386,0.8096153846153846,1.3333333333333333,0.36170403555810304
hidden_context,0,cf_ward@k,3.0,3,1.0,0.5120368887370217,0.674904034217737,0.674904034217737,0.8096153846153846,1.3333333333333333,0.30160109118088957
hidden_context,0,cf_ward@auto,3.0,5,1.6666666666666667,0.35468047086977794,0.5308428482926385,0.5308428482926386,0.8096153846153846,1.3333333333333333,0.36170403555810304
hidden_context,0,ctx_kmeans@k,3.0,3,1.0,0.5120368887370217,0.674904034217737,0.674904034217737,0.8096153846153846,1.3333333333333333,0.30160109118088957
hidden_context,0,ctx_kmeans@auto,3.0,2,0.6666666666666666,0.40848586210995413,0.6362140440367825,0.6362140440367826,0.5961538461538461,1.3333333333333333,0.7494108239965984
