seed,noise,noise_mode,realised_noise,n_added,n_dropped,method,k,n_groups,n_models,ari,nmi,v_measure,homogeneity,completeness,purity,fitness,precision,f1,generalization,simplicity,translucent_fitness,translucent_precision,translucent_f1
0,0.1,balanced,0.100875,660,147,attr_oracle@auto,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.947,0.922,0.81,0.952,0.962,0.957
0,0.1,balanced,0.100875,660,147,kappa_identifier,4,427,427,0.305,0.47,0.47,1.0,0.3075561189071075,1.0,1.0,0.825,0.904,0.461,0.806,0.995,1.0,0.997
0,0.15,balanced,0.1515,1018,194,global,4,1,1,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.316,0.48,0.951,0.623,0.596,0.831,0.694
0,0.15,balanced,0.1515,1018,194,kappa,4,578,578,0.144,0.41,0.41,1.0000000000000002,0.2579850136841603,1.0,1.0,0.967,0.983,0.323,0.931,0.913,0.993,0.952
0,0.15,balanced,0.1515,1018,194,kappa_supported,4,4,4,0.974,0.962,0.962,0.9620682087548129,0.9622325371591555,0.99,1.0,0.894,0.944,0.889,0.802,0.913,0.965,0.938
0,0.15,balanced,0.1515,1018,194,classical_variants,4,94,94,0.225,0.501,0.501,0.8910422166210572,0.34822879517544236,0.933,1.0,0.849,0.918,0.755,0.945,0.832,1.0,0.908
0,0.15,balanced,0.1515,1018,194,translucent_variants,4,744,744,0.03,0.366,0.366,1.0000000000000002,0.22383081394755142,1.0,1.0,0.999,1.0,0.196,1.0,0.881,1.0,0.937
0,0.15,balanced,0.1515,1018,194,cf_kmeans@k,4,4,4,0.646,0.735,0.735,0.6989910384747436,0.775732134296874,0.805,1.0,0.696,0.821,0.9,0.702,0.867,0.951,0.907
0,0.15,balanced,0.1515,1018,194,cf_kmeans@auto,4,8,8,0.362,0.57,0.57,0.6945751214338345,0.48392827019343865,0.798,1.0,0.903,0.949,0.883,0.8,0.885,0.974,0.927
0,0.15,balanced,0.1515,1018,194,cf_ward@k,4,4,4,0.748,0.843,0.843,0.8193263005950444,0.8682733599604034,0.864,1.0,0.977,0.988,0.921,0.798,0.942,0.99,0.965
0,0.15,balanced,0.1515,1018,194,cf_ward@auto,4,8,8,0.541,0.687,0.687,0.8217614764098675,0.5909352023666017,0.864,1.0,0.824,0.904,0.905,0.834,0.872,0.995,0.93
0,0.15,balanced,0.1515,1018,194,ctx_kmeans@k,4,4,4,0.709,0.85,0.85,0.7499999999999999,0.980656547731398,0.75,1.0,0.998,0.999,0.925,0.76,0.945,1.0,0.972
0,0.15,balanced,0.1515,1018,194,ctx_kmeans@auto,4,2,2,0.333,0.577,0.577,0.40563906222956586,0.9999999999999988,0.5,1.0,0.602,0.752,0.94,0.675,0.814,0.896,0.853
0,0.15,balanced,0.1515,1018,194,trace2vec@k,4,4,4,0.51,0.604,0.604,0.5976278876492609,0.6111184920475272,0.686,1.0,0.648,0.786,0.822,0.705,0.807,0.893,0.848
0,0.15,balanced,0.1515,1018,194,trace2vec@auto,4,2,2,0.485,0.631,0.631,0.47290135776842745,0.9458272774100358,0.499,1.0,0.769,0.869,0.865,0.703,0.824,0.933,0.875
0,0.15,balanced,0.1515,1018,194,enabled@k,4,4,4,0.708,0.846,0.846,0.7437950394701215,0.9813887342450547,0.748,1.0,0.938,0.968,0.873,0.751,0.925,1.0,0.961
0,0.15,balanced,0.1515,1018,194,enabled@auto,4,2,2,0.333,0.577,0.577,0.40563906222956586,0.9999999999999988,0.5,1.0,0.602,0.752,0.94,0.675,0.814,0.896,0.853
0,0.15,balanced,0.1515,1018,194,attr_clean@k,4,4,4,0.912,0.903,0.903,0.9023404605193486,0.9027818723324695,0.965,1.0,0.647,0.785,0.864,0.736,0.811,0.913,0.859
0,0.15,balanced,0.1515,1018,194,attr_clean@auto,4,7,7,0.838,0.797,0.797,0.8743442467023332,0.7318833369784,0.928,1.0,0.58,0.734,0.836,0.726,0.761,0.856,0.805
0,0.15,balanced,0.1515,1018,194,attr_noisy@k,4,4,4,0.018,0.023,0.023,0.02319057680040797,0.02324194976091317,0.311,1.0,0.393,0.564,0.895,0.632,0.657,0.775,0.711
0,0.15,balanced,0.1515,1018,194,attr_noisy@auto,4,7,7,0.02,0.03,0.03,0.03554153393134453,0.02540178506977909,0.35,1.0,0.384,0.555,0.862,0.635,0.649,0.716,0.681
0,0.15,balanced,0.1515,1018,194,attr_all@k,4,4,4,0.28,0.316,0.316,0.2943738896875118,0.341272462602182,0.506,1.0,0.335,0.501,0.84,0.636,0.637,0.78,0.701
0,0.15,balanced,0.1515,1018,194,attr_all@auto,4,8,8,0.187,0.22,0.22,0.27260096908738723,0.1840718256196928,0.519,1.0,0.36,0.53,0.812,0.631,0.64,0.702,0.669
0,0.15,balanced,0.1515,1018,194,attr_oracle@k,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.922,0.827,0.966,1.0,0.983
0,0.15,balanced,0.1515,1018,194,attr_oracle@auto,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.922,0.827,0.966,1.0,0.983
0,0.15,balanced,0.1515,1018,194,kappa_identifier,4,578,578,0.144,0.41,0.41,1.0000000000000002,0.2579850136841603,1.0,1.0,0.766,0.867,0.316,0.792,0.992,1.0,0.996
0,0.2,balanced,0.199125,1317,276,global,4,1,1,0.0,0.0,0.0,0.0,1.0,0.25,1.0,0.252,0.403,0.952,0.632,0.456,0.774,0.573
0,0.2,balanced,0.199125,1317,276,kappa,4,697,697,0.061,0.377,0.377,1.0000000000000002,0.2321240010137622,1.0,1.0,0.961,0.98,0.215,0.954,0.894,0.989,0.939
0,0.2,balanced,0.199125,1317,276,kappa_supported,4,4,4,0.956,0.947,0.947,0.9465861000178198,0.9472020765690947,0.983,1.0,0.825,0.904,0.912,0.775,0.891,0.987,0.937
0,0.2,balanced,0.199125,1317,276,classical_variants,4,93,93,0.226,0.495,0.495,0.8763585823525535,0.3451400576013812,0.924,1.0,0.821,0.902,0.756,0.938,0.821,0.981,0.894
0,0.2,balanced,0.199125,1317,276,translucent_variants,4,834,834,0.014,0.352,0.352,1.0000000000000002,0.21384114165018342,1.0,1.0,0.998,0.999,0.123,1.0,0.875,1.0,0.933
0,0.2,balanced,0.199125,1317,276,cf_kmeans@k,4,4,4,0.675,0.753,0.753,0.7254815941633636,0.7835242550922449,0.83,1.0,0.851,0.92,0.888,0.737,0.904,0.982,0.941
0,0.2,balanced,0.199125,1317,276,cf_kmeans@auto,4,8,8,0.498,0.643,0.643,0.7614003659498849,0.5560206624116963,0.85,1.0,0.835,0.91,0.88,0.794,0.879,0.991,0.932
0,0.2,balanced,0.199125,1317,276,cf_ward@k,4,4,4,0.729,0.791,0.791,0.7726917341161399,0.8103975553244586,0.866,1.0,0.662,0.796,0.92,0.713,0.83,0.964,0.892
0,0.2,balanced,0.199125,1317,276,cf_ward@auto,4,8,8,0.512,0.651,0.651,0.772704673498025,0.5628588437044271,0.866,1.0,0.746,0.855,0.901,0.809,0.847,0.983,0.91
0,0.2,balanced,0.199125,1317,276,ctx_kmeans@k,4,4,4,0.828,0.879,0.879,0.8712548114305777,0.8866729695208394,0.923,1.0,0.791,0.884,0.887,0.762,0.873,0.994,0.93
0,0.2,balanced,0.199125,1317,276,ctx_kmeans@auto,4,2,2,0.333,0.577,0.577,0.40563906222956586,0.9999999999999988,0.5,1.0,0.601,0.751,0.939,0.675,0.804,0.896,0.848
0,0.2,balanced,0.199125,1317,276,trace2vec@k,4,4,4,0.651,0.674,0.674,0.6691632192078716,0.6783925003424286,0.847,1.0,0.584,0.737,0.817,0.678,0.765,0.87,0.814
0,0.2,balanced,0.199125,1317,276,trace2vec@auto,4,2,2,0.48,0.623,0.623,0.46724966047661515,0.9346719294776629,0.5,1.0,0.629,0.772,0.886,0.673,0.754,0.864,0.805
0,0.2,balanced,0.199125,1317,276,enabled@k,4,4,4,0.333,0.548,0.548,0.41641320783186436,0.8019818751660152,0.517,1.0,0.606,0.755,0.927,0.677,0.807,0.897,0.85
0,0.2,balanced,0.199125,1317,276,enabled@auto,4,2,2,0.333,0.577,0.577,0.40563906222956586,0.9999999999999988,0.5,1.0,0.601,0.751,0.939,0.675,0.804,0.896,0.848
0,0.2,balanced,0.199125,1317,276,attr_clean@k,4,4,4,0.894,0.893,0.893,0.8925575283977796,0.8935936011438711,0.957,1.0,0.478,0.647,0.884,0.717,0.722,0.887,0.796
0,0.2,balanced,0.199125,1317,276,attr_clean@auto,4,7,7,0.799,0.761,0.761,0.8452937782854352,0.6914850953230719,0.91,1.0,0.431,0.603,0.834,0.693,0.632,0.685,0.658
0,0.2,balanced,0.199125,1317,276,attr_noisy@k,4,4,4,0.008,0.011,0.011,0.01079053330709095,0.010831272384284706,0.304,1.0,0.461,0.631,0.895,0.645,0.669,0.789,0.724
0,0.2,balanced,0.199125,1317,276,attr_noisy@auto,4,7,7,0.006,0.013,0.013,0.015576473834171893,0.011178273501740815,0.325,1.0,0.356,0.526,0.855,0.634,0.594,0.719,0.651
0,0.2,balanced,0.199125,1317,276,attr_all@k,4,4,4,0.262,0.292,0.292,0.27683658865976046,0.3096514914968129,0.477,1.0,0.373,0.544,0.862,0.637,0.635,0.776,0.698
0,0.2,balanced,0.199125,1317,276,attr_all@auto,4,8,8,0.155,0.188,0.188,0.23435256692268278,0.1574486278008796,0.475,1.0,0.33,0.496,0.824,0.633,0.591,0.712,0.646
0,0.2,balanced,0.199125,1317,276,attr_oracle@k,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.852,0.92,0.922,0.791,0.899,0.996,0.945
0,0.2,balanced,0.199125,1317,276,attr_oracle@auto,4,4,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.852,0.92,0.922,0.791,0.899,0.996,0.945
0,0.2,balanced,0.199125,1317,276,kappa_identifier,4,697,697,0.061,0.377,0.377,1.0000000000000002,0.2321240010137622,1.0,1.0,0.717,0.835,0.206,0.785,0.99,1.0,0.995
0,0.3,balanced,0.297625,1946,435,global,4,1,0,0.0,0.0,0.0,0.0,1.0,0.25,,,,,,,,
0,0.3,balanced,0.297625,1946,435,kappa,4,872,0,0.011,0.348,0.348,1.0000000000000002,0.21029769341589533,1.0,,,,,,,,
0,0.3,balanced,0.297625,1946,435,kappa_supported,4,3,0,0.532,0.584,0.584,0.5228006866777172,0.6622013028134506,0.716,,,,,,,,
0,0.3,balanced,0.297625,1946,435,classical_variants,4,96,0,0.221,0.495,0.495,0.8810237317944305,0.3445541991178325,0.927,,,,,,,,
0,0.3,balanced,0.297625,1946,435,translucent_variants,4,944,0,0.002,0.339,0.339,1.0000000000000002,0.20404987426483331,1.0,,,,,,,,
0,0.3,balanced,0.297625,1946,435,cf_kmeans@k,4,4,0,0.639,0.731,0.731,0.6887594293275311,0.7791966986931668,0.792,,,,,,,,
0,0.3,balanced,0.297625,1946,435,cf_kmeans@auto,4,8,0,0.449,0.598,0.598,0.7127247955268587,0.5145285525781669,0.834,,,,,,,,
0,0.3,balanced,0.297625,1946,435,cf_ward@k,4,4,0,0.718,0.778,0.778,0.7598108163090016,0.7975622900367095,0.862,,,,,,,,
0,0.3,balanced,0.297625,1946,435,cf_ward@auto,4,8,0,0.491,0.648,0.648,0.7653484584046197,0.5615905734672665,0.862,,,,,,,,
0,0.3,balanced,0.297625,1946,435,ctx_kmeans@k,4,4,0,0.834,0.881,0.881,0.8744171096437228,0.8886710482234674,0.926,,,,,,,,
0,0.3,balanced,0.297625,1946,435,ctx_kmeans@auto,4,2,0,0.333,0.577,0.577,0.40563906222956586,0.9999999999999988,0.5,,,,,,,,
0,0.3,balanced,0.297625,1946,435,trace2vec@k,4,4,0,0.703,0.74,0.74,0.7324133108137713,0.7478085951682076,0.873,,,,,,,,
0,0.3,balanced,0.297625,1946,435,trace2vec@auto,4,2,0,0.478,0.62,0.62,0.464893816714935,0.9300050027727936,0.5,,,,,,,,
0,0.3,balanced,0.297625,1946,435,enabled@k,4,4,0,0.705,0.834,0.834,0.7336837978292031,0.9655070976093861,0.748,,,,,,,,
0,0.3,balanced,0.297625,1946,435,enabled@auto,4,2,0,0.33,0.57,0.57,0.4001418606316731,0.9883837047756512,0.499,,,,,,,,
0,0.3,balanced,0.297625,1946,435,attr_clean@k,4,4,0,0.881,0.884,0.884,0.8830607480629167,0.8845348809056992,0.951,,,,,,,,
0,0.3,balanced,0.297625,1946,435,attr_clean@auto,4,7,0,0.781,0.745,0.745,0.8311136100751914,0.6751874958506914,0.901,,,,,,,,
0,0.3,balanced,0.297625,1946,435,attr_noisy@k,4,4,0,0.001,0.004,0.004,0.004002678972905942,0.004009401277443844,0.281,,,,,,,,
0,0.3,balanced,0.297625,1946,435,attr_noisy@auto,4,7,0,0.003,0.009,0.009,0.011060392373581055,0.007889761432685036,0.308,,,,,,,,
0,0.3,balanced,0.297625,1946,435,attr_all@k,4,4,0,0.253,0.28,0.28,0.26516894363827,0.2973343817092315,0.482,,,,,,,,
0,0.3,balanced,0.297625,1946,435,attr_all@auto,4,8,0,0.087,0.122,0.122,0.15259530502879823,0.10184323503196142,0.427,,,,,,,,
0,0.3,balanced,0.297625,1946,435,attr_oracle@k,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
0,0.3,balanced,0.297625,1946,435,attr_oracle@auto,4,4,0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,
0,0.4,balanced,0.397125,2606,571,global,4,1,0,0.0,0.0,0.0,0.0,1.0,0.25,,,,,,,,
0,0.4,balanced,0.397125,2606,571,kappa,4,950,0,0.003,0.339,0.339,1.0000000000000002,0.2039474239076364,1.0,,,,,,,,
0,0.4,balanced,0.397125,2606,571,kappa_supported,4,2,0,0.321,0.455,0.455,0.33546744299620607,0.7068990450606462,0.5,,,,,,,,
0,0.4,balanced,0.397125,2606,571,classical_variants,4,94,0,0.231,0.5,0.5,0.8854803208090518,0.34870289598760906,0.928,,,,,,,,
